                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241210"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      869                  7.6479418307306376E+004                  4.8835445760922100E+000                  3.9999994470678071E+000                  3.3900565841654775E+001                 -1.1140872699440111E+001                  7.6248176137997625E-001                  1.9057236011624126E-001                  7.8128182224986213E-008                  9.9999999987742760E-001                  9.9999999965898911E-001                  2.3844481904673442E-001                  7.8128182224986213E-008                  9.9999999989075772E-001                  9.9999999962337516E-001                  2.4264758333183880E+000                 -3.3898247114206917E+001                 -9.8999999999999986E+001                  2.4264758333183880E+000                  1.4254887407091053E+000                  2.3808278813530537E+000                 -3.3898247114206917E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1592310938878187E+032                  1.4158525546059891E+033                  1.8453037313087460E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6362300934663219E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2046968236269384E+000                  2.4304868970319777E+000                  3.2850296212660923E-001                  4.3831216343440227E+000                 -1.2231037284721598E+000                  0.0000000000000000E+000                  7.4261675553345867E+000                  1.5026179666918906E+000                  1.7073320538746710E+001                  1.7073320538746710E+001                  1.5026179666918906E+000                  7.4261675553345867E+000                 -3.6930677660552940E+000                  3.1008670533857030E-002                  6.0264265244521786E-001                  8.6452489316084358E-001                  1.2581255060309169E+000                  7.2905647631378712E-001                  2.6066727629082709E-001                  2.3060456858214413E-005                  4.6114769735990969E-003                  1.7234416803930763E-003                  4.6788769483243758E-003                  2.9190402411694598E+000                  1.0405512288810537E+000                                        0                                        5 
                                      10                                      867                  1.9853049079500388E+006                  5.5961757905208334E+000                  3.9999875126403435E+000                  3.3900564545888670E+001                 -1.1207521698812160E+001                  9.4859747308141362E-001                  2.3597089011910288E-001                  7.8128416479065685E-008                  9.9999999988255450E-001                  9.9999999966436992E-001                  2.8925120076072236E-001                  7.8128416479065685E-008                  9.9999999989075772E-001                  9.9999999962339159E-001                  2.4193450028538113E+000                 -3.3905036394188102E+001                 -1.2944289813551190E+001                  2.4193450028538117E+000                  1.3991756245371760E+000                  2.3757718095261464E+000                 -3.3905036394188102E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3072512920045973E+032                  1.4227996583488332E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2019151410703506E+000                  2.4181931254761713E+000                  3.2791944146188062E-001                  4.3842873799073692E+000                 -1.2300186728342970E+000                  0.0000000000000000E+000                  7.4258491096950916E+000                  1.4952754553754091E+000                  1.7064369824702812E+001                  1.7064369824702812E+001                  1.4952754553754091E+000                  7.4258491096950916E+000                 -3.7114407207868911E+000                  3.0921990419865424E-002                  6.0453794981786035E-001                  8.6243913679616857E-001                  1.2630780108208657E+000                  7.2488496038196648E-001                  2.6488722600168868E-001                  2.4040491873802217E-005                  4.2253220935379050E-003                  1.7234416803930770E-003                  4.6788769483243767E-003                  2.9138963687709754E+000                  1.0456261001966713E+000                                        0                                       10 
                                      20                                      861                  1.4277789616073769E+007                  6.3879882509970818E+000                  3.9999099178336466E+000                  3.3900556121031556E+001                 -1.1191268127085291E+001                  9.4029143011833693E-001                  2.3350077938974906E-001                  7.8129930969478081E-008                  9.9999999985735921E-001                  9.9999999960908570E-001                  2.8925681198484088E-001                  7.8129930969478081E-008                  9.9999999987230070E-001                  9.9999999958202601E-001                  2.4320919276412654E+000                 -3.4051249997989963E+001                 -1.3245319809215172E+001                  2.4320919276412654E+000                  1.3255754202366350E+000                  2.3967051463858557E+000                 -3.4051249997989963E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4210851611248479E+032                  1.3967712642410837E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1948882651528603E+000                  2.4315282624364696E+000                  3.4864076177701098E-001                  4.3428363144199986E+000                 -1.2281987755908554E+000                  0.0000000000000000E+000                  7.4208352549197265E+000                  1.4708847138498624E+000                  1.7025810680322969E+001                  1.7025810680322969E+001                  1.4708847138498624E+000                  7.4208352549197265E+000                 -3.7670950525453848E+000                  3.1162342085199669E-002                  6.1765467778885985E-001                  8.4836918906384673E-001                  1.2975916749421188E+000                  6.9674507352225190E-001                  2.9321369513582812E-001                  3.4112172215801435E-005                  2.7462171444650393E-003                  1.7234416803930750E-003                  4.6788769483243715E-003                  2.8804907859009274E+000                  1.0790600327504272E+000                                        0                                       10 
                                      30                                      866                  5.3815217771090157E+007                  6.5570077271864466E+000                  3.9996198641262537E+000                  3.3900524626999264E+001                 -1.1080541936828949E+001                  8.4844636292313003E-001                  2.1039259631151108E-001                  7.8135595578094592E-008                  9.9999999979505438E-001                  9.9999999941572093E-001                  2.6314884242185982E-001                  7.8135595578094592E-008                  9.9999999981439025E-001                  9.9999999936165829E-001                  2.4906608887913215E+000                 -3.3565049750535330E+001                 -1.2944289813551190E+001                  2.4906608887913220E+000                  1.1792510262525779E+000                  2.4689239908014975E+000                 -3.3565049750535330E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7405629438052917E+032                  1.3445548530932103E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1827591812250757E+000                  2.4902907710866482E+000                  4.0228018395767040E-001                  4.2355259760263895E+000                 -1.2043308823930903E+000                  0.0000000000000000E+000                  7.4246434418476044E+000                  1.4506361075193841E+000                  1.6973594039244567E+001                  1.6973594039244567E+001                  1.4506361075193841E+000                  7.4246434418476044E+000                 -3.8914853452552851E+000                  3.2375092066906516E-002                  6.7186774750760980E-001                  7.9609077437410081E-001                  1.4444659503078952E+000                  5.9218842202477329E-001                  3.9799672092975596E-001                  4.7415532688299930E-005                  9.5730506542263669E-004                  1.7234416803930757E-003                  4.6788769483243750E-003                  2.7639296683058641E+000                  1.1954932787266568E+000                                        0                                       10 
                                      40                                      863                  8.5374281794710055E+007                  6.4505996936403482E+000                  3.9993172740905565E+000                  3.3900491769338160E+001                 -1.0967307248152796E+001                  7.5762617033571134E-001                  1.8731206396272379E-001                  7.8141505169509203E-008                  9.9999999969173403E-001                  9.9999999912583382E-001                  2.3601043606565691E-001                  7.8141505169509203E-008                  9.9999999972591369E-001                  9.9999999904655978E-001                  2.5471912926952300E+000                 -3.2866937984507608E+001                 -9.8999999999999986E+001                  2.5471912926952300E+000                  1.0285122174887267E+000                  2.5338324906046390E+000                 -3.2866937984507608E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0457631053985585E+032                  1.2861498325785852E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1706430450553897E+000                  2.5467920775114656E+000                  4.5476310950944848E-001                  4.1305272672617273E+000                 -1.1835442847480009E+000                  0.0000000000000000E+000                  7.4343266108170951E+000                  1.4507435880811472E+000                  1.6943750469468153E+001                  1.6943750469468153E+001                  1.4507435880811472E+000                  7.4343266108170951E+000                 -3.9946079765503626E+000                  3.4134818676889597E-002                  7.3766336747349059E-001                  7.4298157152663313E-001                  1.6322524231625795E+000                  4.8597014715640752E-001                  5.0428215972388013E-001                  5.2939249677212826E-005                  4.3051593232752933E-004                  1.7234416803930731E-003                  4.6788769483243689E-003                  2.6578612541390512E+000                  1.3012892265025193E+000                                        0                                       10 
                                      50                                      864                  1.1012179338133501E+008                  6.3450720428904370E+000                  3.9990147296260385E+000                  3.3900458914139982E+001                 -1.0868735990893985E+001                  6.6504521221420265E-001                  1.6435911705404513E-001                  7.8147416759332312E-008                  9.9999999952767160E-001                  9.9999999863831324E-001                  2.0712007551038536E-001                  7.8147416759332312E-008                  9.9999999956185126E-001                  9.9999999845649368E-001                  2.5985177274822990E+000                 -3.2097135326106446E+001                 -9.8999999999999986E+001                  2.5985177274822986E+000                  8.4617802285058485E-001                  2.5907675088650106E+000                 -3.2097135326106446E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1961617270819032E+032                  1.2026219141631609E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1552322427777870E+000                  2.5980421262374684E+000                  5.1120973842765782E-001                  4.0176011542271324E+000                 -1.1709827875339280E+000                  0.0000000000000000E+000                  7.4460855139849524E+000                  1.4613867632676651E+000                  1.6922459449533555E+001                  1.6922459449533555E+001                  1.4613867632676651E+000                  7.4460855139849524E+000                 -4.0857443902295332E+000                  3.6654230657870490E-002                  8.1783472631610521E-001                  6.8982284714925257E-001                  1.8764609759941433E+000                  3.7965276597305614E-001                  6.1062296120556325E-001                  5.6510743429881328E-005                  2.4953725117860524E-004                  1.7234416803930752E-003                  4.6788769483243732E-003                  2.5638119672752619E+000                  1.3950323295610294E+000                                        0                                       10 
                                      60                                      871                  1.2944197462398191E+008                  6.2349804846134997E+000                  3.9987251959030989E+000                  3.3900427469532026E+001                 -1.0789075380933705E+001                  5.7248976095998372E-001                  1.4165873536825152E-001                  7.8153074624727657E-008                  9.9999999920931293E-001                  9.9999999774544623E-001                  1.7747207547419003E-001                  7.8153074624727657E-008                  9.9999999929134409E-001                  9.9999999756089708E-001                  2.6433896052209871E+000                 -3.1214458690028447E+001                 -9.8999999999999986E+001                  2.6433896052209871E+000                  6.1849416065887142E-001                  2.6392691283924208E+000                 -3.1214458690028447E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2133223343658104E+032                  1.1137716878256221E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1352453214951881E+000                  2.6428009844343676E+000                  5.7356301009130506E-001                  3.8928631662918800E+000                 -1.1635960059560910E+000                  0.0000000000000000E+000                  7.4599432691629755E+000                  1.4836248424722374E+000                  1.6909798613031352E+001                  1.6909798613031352E+001                  1.4836248424722374E+000                  7.4599432691629755E+000                 -4.1634763260917129E+000                  4.0331067859261605E-002                  9.1777275024173133E-001                  6.3656332621328204E-001                  2.2073543649431429E+000                  2.7313375376617355E-001                  7.1715084754156677E-001                  5.9755641898550927E-005                  1.8356523467091354E-004                  1.7234416803930729E-003                  4.6788769483243680E-003                  2.4818854668448767E+000                  1.4766565353394219E+000                                        0                                       10 
                                      70                                      880                  1.4437711725191632E+008                  6.1224254443106050E+000                  3.9984635770673633E+000                  3.3900399054642747E+001                 -1.0731603498370584E+001                  4.8150262197389010E-001                  1.1937274592462511E-001                  7.8158189637809882E-008                  9.9999999861946920E-001                  9.9999999599863876E-001                  1.4974314387914650E-001                  7.8158189637809882E-008                  9.9999999875618795E-001                  9.9999999556887864E-001                  2.6807136801426394E+000                 -3.0086567346517739E+001                 -1.2944289813551190E+001                  2.6807136801426399E+000                  3.2291205907381493E-001                  2.6788041033465060E+000                 -3.0086567346517739E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0872394450729607E+032                  1.0001126579446510E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1100518184005317E+000                  2.6799911516708335E+000                  6.4254509989884945E-001                  3.7548705717875128E+000                 -1.1639312400787942E+000                  0.0000000000000000E+000                  7.4776626293305215E+000                  1.5238751133474484E+000                  1.6912611812583719E+001                  1.6912611812583719E+001                  1.5238751133474484E+000                  7.4776626293305215E+000                 -4.2202031294536155E+000                  4.5902772754455590E-002                  1.0457804166744187E+000                  5.8321465016229790E-001                  2.6809002361174343E+000                  1.6643641257465269E-001                  8.2385229982685981E-001                  6.3622372928662054E-005                  1.5608836491314920E-004                  1.7234416803930752E-003                  4.6788769483243767E-003                  2.4123395589362073E+000                  1.5459270357280013E+000                                        0                                       10 
                                      80                                      895                  1.5580821588331217E+008                  5.9873970939682959E+000                  3.9982403156372284E+000                  3.3900374804349511E+001                 -1.0689473368356008E+001                  3.9149382857381293E-001                  9.7664284278034724E-002                  7.8162550281324118E-008                  9.9999999744368795E-001                  9.9999999267338135E-001                  1.2252782790026986E-001                  7.8162550281324118E-008                  9.9999999770735981E-001                  9.9999999204773427E-001                  2.7128843371302187E+000                 -2.8168178395550395E+001                 -1.2944289813551190E+001                  2.7128843371302187E+000                 -3.2105582417188978E-002                  2.7121023757332821E+000                 -2.8168178395550395E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8366544948591431E+032                  8.7235827075120373E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.2643286955936763E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0832657714617087E+000                  2.7123635390640195E+000                  7.1230338747308886E-001                  3.6153297463457994E+000                 -1.1648884606701535E+000                  0.0000000000000000E+000                  7.5079789607965530E+000                  1.6092507354407521E+000                  1.6964907946513982E+001                  1.6964907946513982E+001                  1.6092507354407521E+000                  7.5079789607965530E+000                 -4.2250042931004206E+000                  5.4886455036338384E-002                  1.2153553087464026E+000                  5.2984670796771938E-001                  3.4134592545485938E+000                  5.9700530955763456E-002                  9.3059148228836108E-001                  7.0373143654807653E-005                  1.3874913808538050E-004                  1.7234416803930763E-003                  4.6788769483243784E-003                  2.3548066166238226E+000                  1.6032260842055477E+000                                        0                                       10 
